test_centos6_192.168.11.209,online,test_centos6,centos6,,192.168.11.209
test_centos6_192.168.11.199,online,test_centos6,centos6,,192.168.11.199
test_centos6_192.168.11.193,online,test_centos6,centos6,,192.168.11.193
test_centos6_192.168.11.218,online,test_centos6,centos6,,192.168.11.218
test_centos6_192.168.11.221,online,test_centos6,centos6,,192.168.11.221
test_centos6_192.168.11.198,online,test_centos6,centos6,,192.168.11.198
test_centos6_192.168.11.217,online,test_centos6,centos6,,192.168.11.217
test_centos6_192.168.11.194,online,test_centos6,centos6,,192.168.11.194
test_centos6_192.168.55.182,online,test_centos6,centos6,,192.168.55.182
test_centos6_192.168.55.176,online,test_centos6,centos6,,192.168.55.176
test_centos6_192.168.11.219,online,test_centos6,centos6,,192.168.11.219
test_centos7_192.168.11.212,online,test_centos7,centos7,,192.168.11.212
test_centos7_192.168.55.184,online,test_centos7,centos7,,192.168.55.184
test_centos7_192.168.11.210,online,test_centos7,centos7,,192.168.11.210
test_centos7_192.168.11.227,online,test_centos7,centos7,,192.168.11.227
test_centos7_192.168.11.195,online,test_centos7,centos7,,192.168.11.195
test_centos7_192.168.55.181,online,test_centos7,centos7,,192.168.55.181
test_centos7_192.168.11.220,online,test_centos7,centos7,,192.168.11.220
test_centos7_192.168.55.177,online,test_centos7,centos7,,192.168.55.177
test_centos7_192.168.11.200,online,test_centos7,centos7,,192.168.11.200
test_centos7_192.168.11.211,online,test_centos7,centos7,,192.168.11.211
test_ubuntu14_192.168.11.215,online,test_ubuntu14,ubuntu14,,192.168.11.215
test_ubuntu14_192.168.11.197,online,test_ubuntu14,ubuntu14,,192.168.11.197
test_ubuntu14_192.168.11.216,online,test_ubuntu14,ubuntu14,,192.168.11.216
test_ubuntu14_192.168.11.213,online,test_ubuntu14,ubuntu14,,192.168.11.213
test_ubuntu14_192.168.11.196,online,test_ubuntu14,ubuntu14,,192.168.11.196
test_ubuntu14_192.168.11.206,online,test_ubuntu14,ubuntu14,,192.168.11.206
test_ubuntu14_192.168.11.228,online,test_ubuntu14,ubuntu14,,192.168.11.228
test_ubuntu14_192.168.55.178,online,test_ubuntu14,ubuntu14,,192.168.55.178
test_ubuntu14_192.168.55.183,online,test_ubuntu14,ubuntu14,,192.168.55.183
test_ubuntu14_192.168.55.186,online,test_ubuntu14,ubuntu14,,192.168.55.186
test_ubuntu16_192.168.11.214,online,test_ubuntu16,ubuntu16,,192.168.11.214
test_ubuntu16_192.168.11.217,online,test_ubuntu16,ubuntu16,,192.168.11.217
test_ubuntu16_192.168.55.185,online,test_ubuntu16,ubuntu16,,192.168.55.185
test_ubuntu16_192.168.55.180,online,test_ubuntu16,ubuntu16,,192.168.55.180
test_ubuntu16_192.168.11.226,online,test_ubuntu16,ubuntu16,,192.168.11.226
test_ubuntu16_192.168.11.201,online,test_ubuntu16,ubuntu16,,192.168.11.201
test_ubuntu16_192.168.55.179,online,test_ubuntu16,ubuntu16,,192.168.55.179
test_ubuntu16_192.168.11.207,online,test_ubuntu16,ubuntu16,,192.168.11.207
test_ubuntu16_192.168.11.203,online,test_ubuntu16,ubuntu16,,192.168.11.203
test_ubuntu16_192.168.11.223,online,test_ubuntu16,ubuntu16,,192.168.11.223
test_ubuntu16_192.168.11.208,online,test_ubuntu16,ubuntu16,,192.168.11.208
build_centos6_192.168.11.230,online,build_centos6,centos6,,192.168.11.230
build_centos6_192.168.11.229,online,build_centos6,centos6,,192.168.11.229
build_centos6_192.168.11.205,online,build_centos6,centos6,,192.168.11.205
build_centos6_192.168.11.204,online,build_centos6,centos6,,192.168.11.204
build_ubuntu16_192.168.11.230,online,build_ubuntu16,ubuntu16,,192.168.11.230
build_ubuntu16_192.168.11.205,online,build_ubuntu16,ubuntu16,,192.168.11.205
hourly_centos6_192.168.11.193,online,hourly_centos6,centos6,,192.168.11.193
hourly_centos6_192.168.55.229,online,hourly_centos6,centos6,,192.168.55.229
hourly_centos6_192.168.11.219,online,hourly_centos6,centos6,,192.168.11.219
hourly_centos6_192.168.55.230,online,hourly_centos6,centos6,,192.168.55.230
hourly_centos7_192.168.11.211,online,hourly_centos7,centos7,,192.168.11.211
hourly_centos7_192.168.55.227,online,hourly_centos7,centos7,,192.168.55.227
hourly_centos7_192.168.55.228,online,hourly_centos7,centos7,,192.168.55.228
hourly_ubuntu14_192.168.55.174,online,hourly_ubuntu14,ubuntu14,,192.168.55.174
hourly_ubuntu14_192.168.55.175,online,hourly_ubuntu14,ubuntu14,,192.168.55.175
hourly_ubuntu14_192.168.55.231,online,hourly_ubuntu14,ubuntu14,,192.168.55.231
hourly_ubuntu14_192.168.11.213,online,hourly_ubuntu14,ubuntu14,,192.168.11.213
hourly_ubuntu14_192.168.55.232,online,hourly_ubuntu14,ubuntu14,,192.168.55.232
hourly_ubuntu16_192.168.11.203,online,hourly_ubuntu16,ubuntu16,,192.168.11.203
hourly_ubuntu16_192.168.55.234,online,hourly_ubuntu16,ubuntu16,,192.168.55.234
hourly_ubuntu16_192.168.55.233,online,hourly_ubuntu16,ubuntu16,,192.168.55.233
